ID,Year,Month,Day,X,Date_,Hour,Minute,Second,Time_,Date,Spacecraft,Chave,Gaps
2,2007,1,17,01/17/2007,01/17/2007,2,0,0,2:00:00 AM,2007-01-17 02:00:00,STA,2007117200STA,
3,2007,1,18,01/18/2007,01/18/2007,3,0,0,3:00:00 AM,2007-01-18 03:00:00,STA,2007118300STA,
4,2007,2,8,02/08/2007,02/08/2007,4,0,0,4:00:00 AM,2007-02-08 04:00:00,STA,200728400STA,
5,2007,1,24,01/24/2007,01/24/2007,5,0,0,5:00:00 AM,2007-01-24 05:00:00,STA,2007124500STA,
6,2007,2,10,02/10/2007,02/10/2007,6,0,0,6:00:00 AM,2007-02-10 06:00:00,STA,2007210600STA,
7,2007,1,21,01/21/2007,01/21/2007,7,0,0,7:00:00 AM,2007-01-21 07:00:00,STA,2007121700STA,
14,2007,2,12,02/12/2007,02/12/2007,14,0,0,2:00:00 PM,2007-02-12 14:00:00,STA,20072121400STA,
148,2010,11,28,11/28/2010,11/28/2010,10,0,0,10:00:00 AM,2010-11-28 10:00:00,STA,201011281000STA,
157,2011,1,5,01/05/2011,01/05/2011,19,0,0,7:00:00 PM,2011-01-05 19:00:00,STA,2011151900STA,
171,2011,5,1,05/01/2011,05/01/2011,10,0,0,10:00:00 AM,2011-05-01 10:00:00,STA,2011511000STA,
228,2012,4,1,04/01/2012,04/01/2012,21,0,0,9:00:00 PM,2012-04-01 21:00:00,STA,2012412100STA,
238,2012,5,1,05/01/2012,05/01/2012,8,0,0,8:00:00 AM,2012-05-01 08:00:00,STA,201251800STA,
258,2012,6,1,06/01/2012,06/01/2012,5,0,0,5:00:00 AM,2012-06-01 05:00:00,STA,201261500STA,
268,2012,7,1,07/01/2012,07/01/2012,15,0,0,3:00:00 PM,2012-07-01 15:00:00,STA,2012711500STA,
280,2012,7,24,07/24/2012,07/24/2012,4,0,0,4:00:00 AM,2012-07-24 04:00:00,STA,2012724400STA,
299,2012,9,1,09/01/2012,09/01/2012,23,0,0,11:00:00 PM,2012-09-01 23:00:00,STA,2012912300STA,
322,2012,11,1,11/01/2012,11/01/2012,23,0,0,11:00:00 PM,2012-11-01 23:00:00,STA,20121112300STA,
334,2012,12,1,12/01/2012,12/01/2012,12,0,0,12:00:00 PM,2012-12-01 12:00:00,STA,20121211200STA,
372,2013,2,15,02/15/2013,02/15/2013,4,0,0,4:00:00 AM,2013-02-15 04:00:00,STA,2013215400STA,
427,2013,6,23,06/23/2013,06/23/2013,13,0,0,1:00:00 PM,2013-06-23 13:00:00,STA,20136231300STA,
492,2013,11,2,11/02/2013,11/02/2013,9,0,0,9:00:00 AM,2013-11-02 09:00:00,STA,2013112900STA,
