ID,Year,Month,Day,Date_,Hour,Minute,Second,Time_,Date,Spacecraft_,Spacecraft,Type_ipshock,Origem,Chave,Repete?,Accept,Gap
185000000,2011,7,4,40728,23,12,10,"0,9667824074","40728,96678",STEREO-B,STB,FF,SSC,201174231210STEREO-B,,0,1
2005,2011,8,11,40766,5,38,57,"0,2353819444","40766,23538",STEREO-A,STA,FF,IPShock,201181153857STEREO-A,,0,1
2009,2011,9,8,40794,23,45,2,"0,9896064815","40794,98961",STEREO-A,STA,FF,IPShock,20119823452STEREO-A,,0,1
2024,2011,9,28,40814,3,54,29,"0,1628356481","40814,16284",STEREO-A,STA,FF,IPShock,201192835429STEREO-A,,0,1
2026,2011,10,3,40819,2,28,25,"0,1030671296","40819,10307",STEREO-A,STA,FF,IPShock,201110322825STEREO-A,,0,1
2027,2011,10,3,40819,22,23,24,"0,9329166667","40819,93292",STEREO-B,STB,FF,IPShock,2011103222324STEREO-B,,0,1
2045,2011,11,13,40860,0,47,48,"0,03319444444","40860,03319",STEREO-B,STB,FF,IPShock,2011111304748STEREO-B,,0,1
2057,2011,12,2,40879,16,3,59,"0,6694328704","40879,66943",STEREO-B,STB,FF,IPShock,201112216359STEREO-B,,0,1
2061,2011,12,8,40885,0,37,58,"0,02636574074","40885,02637",STEREO-A,STA,FF,IPShock,201112803758STEREO-A,,0,1
2066,2011,12,21,40898,0,30,0,"0,02083333333","40898,02083",STEREO-A,STA,FR,IPShock,201112210300STEREO-A,,0,1
234000000,2011,12,26,40903,23,50,46,"0,993587963","40903,99359",STEREO-B,STB,FF,SSC,20111226235046STEREO-B,,0,1
2097,2012,2,28,40967,23,20,13,"0,9723726852","40967,97237",STEREO-A,STA,FR,IPShock,2012228232013STEREO-A,,0,1
2098,2012,3,1,40969,20,24,55,"0,8506365741","40969,85064",STEREO-A,STA,FF,IPShock,201231202455STEREO-A,,0,1
254000000,2012,3,8,40976,13,36,"43,5","0,5671643519","40976,56716",STEREO-B,STB,FF,SSC,"201238133643,5STEREO-B",,0,1
2148,2012,5,12,41041,23,8,30,"0,9642361111","41041,96424",STEREO-B,STB,FF,IPShock,201251223830STEREO-B,,0,1
280000000,2012,5,28,41057,19,53,47,"0,8290162037","41057,82902",STEREO-A,STA,FR,SSC,2012528195347STEREO-A,,0,1
2168,2012,6,27,41087,12,40,24,"0,5280555556","41087,52806",STEREO-B,STB,FF,IPShock,2012627124024STEREO-B,,0,1
293000000,2012,7,23,41113,20,55,25,"0,8718171296","41113,87182",STEREO-A,STA,FF,SSC,2012723205525STEREO-A,,0,1
296000000,2012,8,1,41122,16,51,53,"0,7026967593","41122,7027",STEREO-A,STA,FF,SSC,201281165153STEREO-A,,0,1
2201,2012,9,16,41168,23,11,3,"0,9660069444","41168,96601",STEREO-A,STA,FF,IPShock,201291623113STEREO-A,,0,1
2205,2012,9,23,41175,8,45,32,"0,3649537037","41175,36495",STEREO-B,STB,FF,IPShock,201292384532STEREO-B,,0,1
312000000,2012,9,24,41176,23,48,38,"0,9921064815","41176,99211",STEREO-B,STB,FR,SSC,2012924234838STEREO-B,,0,1
2214,2012,10,1,41183,19,29,2,"0,8118287037","41183,81183",STEREO-A,STA,FR,IPShock,201210119292STEREO-A,,0,1
2220,2012,10,12,41194,0,18,10,"0,01261574074","41194,01262",STEREO-B,STB,FF,IPShock,2012101201810STEREO-B,,0,1
2225,2012,10,22,41204,23,30,0,"0,9791666667","41204,97917",STEREO-A,STA,FF,IPShock,2012102223300STEREO-A,,0,1
2227,2012,10,26,41208,0,42,30,"0,02951388889","41208,02951",STEREO-A,STA,FF,IPShock,2012102604230STEREO-A,,0,1
2254,2012,12,25,41268,0,37,44,"0,0262037037","41268,0262",STEREO-B,STB,FF,IPShock,2012122503744STEREO-B,,0,1
2260,2013,1,25,41299,0,14,12,"0,009861111111","41299,00986",STEREO-A,STA,FF,IPShock,201312501412STEREO-A,,0,1
351000000,2013,3,5,41338,19,57,36,"0,8316666667","41338,83167",STEREO-B,STB,FF,SSC,201335195736STEREO-B,,0,1
355000000,2013,3,18,41351,0,24,25,"0,01695601852","41351,01696",STEREO-B,STB,FF,SSC,201331802425STEREO-B,,0,1
359000000,2013,4,9,41373,6,40,42,"0,2782638889","41373,27826",STEREO-B,STB,FF,SSC,20134964042STEREO-B,,0,1
365000000,2013,4,27,41391,23,32,15,"0,9807291667","41391,98073",STEREO-A,STA,FF,SSC,2013427233215STEREO-A,,0,1
2295,2013,5,12,41406,23,30,46,"0,9796990741","41406,9797",STEREO-A,STA,FF,IPShock,2013512233046STEREO-A,,0,1
376000000,2013,5,17,41411,0,5,35,"0,003877314815","41411,00388",STEREO-A,STA,FR,SSC,20135170535STEREO-A,,0,1
2312,2013,5,26,41420,0,53,13,"0,03695601852","41420,03696",STEREO-B,STB,FF,IPShock,201352605313STEREO-B,,0,1
2320,2013,6,3,41428,17,12,29,"0,7170023148","41428,717",STEREO-A,STA,FR,IPShock,201363171229STEREO-A,,0,1
386000000,2013,6,11,41436,14,4,50,"0,5866898148","41436,58669",STEREO-A,STA,FR,SSC,201361114450STEREO-A,,0,1
2322,2013,6,20,41445,2,47,4,"0,1160185185","41445,11602",STEREO-B,STB,FF,IPShock,20136202474STEREO-B,,0,1
2339,2013,7,25,41480,7,2,12,"0,2931944444","41480,29319",STEREO-A,STA,FF,IPShock,20137257212STEREO-A,,0,1
397000000,2013,8,11,41497,14,49,21,"0,6176041667","41497,6176",STEREO-B,STB,FR,SSC,2013811144921STEREO-B,,0,1
2349,2013,8,22,41508,2,9,47,"0,09012731481","41508,09013",STEREO-B,STB,FF,IPShock,20138222947STEREO-B,,0,1
419000000,2013,11,5,41583,23,53,9,"0,9952430556","41583,99524",STEREO-A,STA,FF,SSC,201311523539STEREO-A,,0,1
2374,2013,11,6,41584,2,0,26,"0,08363425926","41584,08363",STEREO-B,STB,FF,IPShock,20131162026STEREO-B,,0,1
421000000,2013,11,8,41586,13,28,35,"0,5615162037","41586,56152",STEREO-B,STB,FF,SSC,2013118132835STEREO-B,,0,1
422000000,2013,11,10,41588,0,26,0,"0,01805555556","41588,01806",STEREO-A,STA,FF,SSC,201311100260STEREO-A,,0,1
2379,2013,11,13,41591,17,0,55,"0,7089699074","41591,70897",STEREO-A,STA,FF,IPShock,2013111317055STEREO-A,,0,1
427000000,2013,11,20,41598,23,52,7,"0,994525463","41598,99453",STEREO-A,STA,FF,SSC,2013112023527STEREO-A,,0,1
430000000,2013,12,8,41616,18,22,41,"0,7657523148","41616,76575",STEREO-B,STB,FF,SSC,2013128182241STEREO-B,,0,1
